x_mm,y_mm
208.2,5.3
163.2,2.3
155.7,8.3
155.7,32.3
113.2,31.3
112.2,50.3
76.2,50.3
73.7,47.3
76.2,26.3
71.7,19.3
27.7,22.3
25.2,74.3
50.7,72.8
53.7,78.8
50.7,90.8
26.7,91.3
21.2,95.3
20.7,131.3
24.7,137.3
94.2,138.8
100.2,135.8
112.7,114.8
143.7,115.3
143.2,144.8
164.7,146.3
169.2,141.8
170.7,83.3
167.7,77.8
158.7,77.3
156.7,74.3
157.7,56.3
196.2,54.8
195.7,39.8
226.2,39.8
229.2,63.8
227.7,90.8
238.2,102.8
238.2,117.8
232.2,125.3
208.2,123.8
202.2,126.8
200.7,174.8
193.2,185.3
191.7,200.3
179.7,195.8
160.2,182.3
161.7,173.3
155.7,170.3
128.7,171.8
115.2,185.3
113.2,197.8
71.7,196.8
65.7,194.3
56.7,182.3
47.7,178.3
29.7,177.8
23.2,183.8
