x_mm,y_mm
209.6,11.7
157.1,8.7
157.1,32.7
154.1,38.7
113.6,37.2
110.6,43.2
112.1,52.2
107.6,56.7
73.6,56.7
74.6,32.7
70.1,25.7
28.1,28.2
24.6,38.2
25.1,78.2
28.1,80.7
50.6,79.7
52.1,89.7
47.6,97.2
21.6,98.2
22.1,140.7
94.1,143.7
100.1,140.7
112.6,120.2
143.6,121.2
143.6,151.2
167.6,151.2
170.6,88.2
166.1,83.7
159.6,85.2
157.1,82.2
158.6,61.2
193.1,62.7
197.6,58.2
196.1,49.2
200.6,44.2
227.6,46.2
229.1,103.2
238.1,104.2
238.1,125.7
233.6,130.2
206.6,129.2
201.6,133.2
200.6,178.2
193.1,184.2
191.6,202.2
188.6,203.7
166.1,190.2
157.1,174.2
130.1,175.2
115.1,188.7
115.1,197.7
110.6,202.2
70.1,199.2
49.1,181.7
26.6,180.7
25.1,188.7
